date,Borough,week day,Month,TMAX,TMIN,holiday,Year,Total
2/21/2006,STATEN ISLAND,Tuesday,February,41,31,No Holiday,A2006,7
2/22/2006,BRONX,Wednesday,February,45,32,No Holiday,A2006,26
2/22/2006,MANHATTAN,Wednesday,February,45,32,No Holiday,A2006,26
2/22/2006,STATEN ISLAND,Wednesday,February,45,32,No Holiday,A2006,3
2/23/2006,BRONX,Thursday,February,48,38,No Holiday,A2006,34
2/23/2006,MANHATTAN,Thursday,February,48,38,No Holiday,A2006,23
2/23/2006,STATEN ISLAND,Thursday,February,48,38,No Holiday,A2006,7
2/24/2006,BRONX,Friday,February,42,28,No Holiday,A2006,45
2/24/2006,MANHATTAN,Friday,February,42,28,No Holiday,A2006,21
2/24/2006,STATEN ISLAND,Friday,February,42,28,No Holiday,A2006,7
2/25/2006,BRONX,Saturday,February,50,27,No Holiday,A2006,35
2/25/2006,MANHATTAN,Saturday,February,50,27,No Holiday,A2006,26
2/25/2006,STATEN ISLAND,Saturday,February,50,27,No Holiday,A2006,5
2/26/2006,BRONX,Sunday,February,29,18,No Holiday,A2006,39
2/26/2006,MANHATTAN,Sunday,February,29,18,No Holiday,A2006,23
2/26/2006,STATEN ISLAND,Sunday,February,29,18,No Holiday,A2006,1
2/27/2006,BRONX,Monday,February,30,18,No Holiday,A2006,30
2/27/2006,MANHATTAN,Monday,February,30,18,No Holiday,A2006,22
2/27/2006,STATEN ISLAND,Monday,February,30,18,No Holiday,A2006,6
2/28/2006,BRONX,Tuesday,February,33,22,No Holiday,A2006,36
2/28/2006,MANHATTAN,Tuesday,February,33,22,No Holiday,A2006,25
2/28/2006,STATEN ISLAND,Tuesday,February,33,22,No Holiday,A2006,10
3/1/2006,BRONX,Wednesday,March,41,27,No Holiday,A2006,40
3/1/2006,MANHATTAN,Wednesday,March,41,27,No Holiday,A2006,33
3/1/2006,STATEN ISLAND,Wednesday,March,41,27,No Holiday,A2006,14
